rotten_tomatoes_link,review_content,movie_title,movie_info,id
m/1013884-mighty_joe_young,,Mighty Joe Young,"Jill Young (Terry Moore) has raised Joe, her gentle pet gorilla, since he was a baby. When a Hollywood, Calif., nightclub owner (Robert Armstrong) travels to Africa and notices the amazing animal, he pursuades Jill to send Joe to Hollywood. But Joe grows restless performing for crowds and finally breaks free from captivity, wreaking havoc on the city. To save Joe from the authorities, who want him dead, Jill must create an elaborate plan to send him back to Africa.",56894
m/amityville_the_awakening,"It's a series of routines within a routine formula, and the result is as tedious as it sounds.",Amityville: The Awakening,"When some footage dating back to 1976 is discovered, the case of the haunted house in Amityville is reopened. An ambitious woman who is working as a television news intern seizes the opportunity to advance her career and is soon leading a team of journalists, clergymen, and paranormal researchers into the house, but she may have unwittingly opened a door to the unreal that she will never be able to close.",83114
m/amityville_the_awakening,"A vulgar exercise of terror that, despite its defects, manages to stand out from its delectable predecessors. [Full Review in Spanish]",Amityville: The Awakening,"When some footage dating back to 1976 is discovered, the case of the haunted house in Amityville is reopened. An ambitious woman who is working as a television news intern seizes the opportunity to advance her career and is soon leading a team of journalists, clergymen, and paranormal researchers into the house, but she may have unwittingly opened a door to the unreal that she will never be able to close.",83123
m/after_the_thin_man,"After the Thin Man hasn't quite the spontaneity and charm of the original, but it's good mystery-comedy, the dialogue bright, the handling expert, and the principals as ingratiating as ever.",After the Thin Man,"Recently returned home from vacation, private detective Nick Charles (William Powell) and his socialite wife, Nora (Myrna Loy), are back on the case when Nora's cousin, Selma (Elissa Landi), reports her husband Robert (Alan Marshal) missing. As the duo search for the disreputable Robert, Selma's friend David Graham (James Stewart), who secretly pines for her, aids the investigation. When the three begin to unravel Robert's secret life, the missing persons case turns into one of murder.",49090
m/1019017-silver_streak,You never really get angry at it. You just want to shake it up because the elements for a first-class comedy thriller are all there. It's simply .that everything is always ten per cent off.,Silver Streak,"While on a cross-country train ride, overworked book editor George Caldwell (Gene Wilder) begins an unexpected romance with an enigmatic woman named Hilly Burns (Jill Clayburgh). His vacation is interrupted, however, when he witnesses a murder for which he is then accused. The true villains kidnap Hilly and eject Caldwell from the moving train. Desperate, Caldwell teams up with car thief Grover Muldoon (Richard Pryor), and together they must save Hilly while avoiding the police.",16250
m/1067234-boomerang,An excellent film.,Boomerang!,"Connecticut prosecutor Henry Harvey (Dana Andrews), faced with a political maelstrom in the wake of the shooting death of a Catholic priest on a city street corner, feels tremendous pressure to prosecute a vagrant ex-soldier whom Police Chief Robinson (Lee J. Cobb) apprehended in connection with the crime. After the vagrant confesses, it looks to be an open and shut case, but Harvey remains unconvinced and chooses to risk his career in order to discover the truth.",6226
m/1078030-hoodlum,,Hoodlum,"Having just been released from jail, Bumpy Johnson (Laurence Fishburne) returns to his criminal ways as a linchpin in the African-American-run numbers racket. However, Bumpy's longtime friend Illinois Gordon (Chi McBride) and girlfriend Francine Hughes (Vanessa Williams) are both eager to get him back on the straight and narrow. But a brewing rivalry with Mafia boss Lucky Luciano (Andy Garcia) and his henchman Dutch Schultz (Tim Roth) threatens to raise the stakes to dangerous new levels.",17339
m/alexandras-project,"De Heer, who also wrote the script, would have us believe that a wife who's tired of her oblivious bloke of a husband could suddenly become conniving and cruel, coolly defending her actions with twisted logic that's sold as feminism.",Alexandra's Project,"Returning home from work, a man (Gary Sweet) finds a videotape that has disturbing revelations from his vengeful wife (Helen Buday).",11772
m/1128319-american_gun,"Martin internalizes everything, and Coburn must communicate only through pained looks. It's a tremendous performance.",American Gun,A distraught man (James Coburn) embarks on a cross-country odyssey to track the weapon used to kill his daughter (Virginia Madsen).,42726
m/armstrong_2019,"Amid the fawning interviews and familiar archival footage, the film offers a compelling window into his personal life and workaholic nature through revealing interviews with his ex-wife and children.",Armstrong,Interviews and never-before-seen footage highlight the incredible life of astronaut Neil Armstrong -- from his near-death experiences as a fighter pilot and test pilot to his historic Apollo 11 mission to the moon.,33471
